tx_id	gene_id
ENST00000462676	ENSG00000069424
ENST00000481789	ENSG00000069424
ENST00000466994	ENSG00000158286
ENST00000484435	ENSG00000158286
ENST00000485539	ENSG00000158286
ENST00000463453	ENSG00000158286
ENST00000492476	ENSG00000158286
ENST00000483336	ENSG00000158286
ENST00000441724	ENSG00000225077
ENST00000429480	ENSG00000225077
ENST00000377898	ENSG00000173673
ENST00000633651	ENSG00000187017
ENST00000632142	ENSG00000187017
ENST00000418286	ENSG00000187017
ENST00000632803	ENSG00000187017
ENST00000632593	ENSG00000187017
ENST00000475479	ENSG00000187017
ENST00000636644	ENSG00000187017
ENST00000434576	ENSG00000187017
ENST00000477679	ENSG00000187017
ENST00000411823	ENSG00000173662
ENST00000415267	ENSG00000173662
ENST00000319084	ENSG00000204859
ENST00000435905	ENSG00000204859
ENST00000377674	ENSG00000204859
ENST00000488936	ENSG00000204859
ENST00000482360	ENSG00000204859
ENST00000498342	ENSG00000204859
ENST00000466813	ENSG00000204859
ENST00000495385	ENSG00000116273
ENST00000054650	ENSG00000041988
ENST00000484676	ENSG00000041988
ENST00000307896	ENSG00000041988
ENST00000484669	ENSG00000041988
ENST00000487819	ENSG00000041988
ENST00000472925	ENSG00000041988
ENST00000480647	ENSG00000041988
ENST00000432429	ENSG00000228750
ENST00000414210	ENSG00000228750
ENST00000635029	ENSG00000228750
ENST00000635092	ENSG00000228750
ENST00000421469	ENSG00000228750
ENST00000427317	ENSG00000237402
ENST00000470357	ENSG00000049245
ENST00000487194	ENSG00000049245
ENST00000473653	ENSG00000049246
ENST00000602883	ENSG00000049246
ENST00000463106	ENSG00000049246
ENST00000494684	ENSG00000049246
ENST00000460192	ENSG00000116288
ENST00000465354	ENSG00000116288
ENST00000497113	ENSG00000116288
ENST00000453364	ENSG00000229305
ENST00000452982	ENSG00000227634
ENST00000481265	ENSG00000162426
ENST00000444276	ENSG00000232912
ENST00000445254	ENSG00000226545
ENST00000442636	ENSG00000230679
ENST00000480186	ENSG00000131686
ENST00000412639	ENSG00000234546
ENST00000495451	ENSG00000049239
ENST00000510900	ENSG00000188807
ENST00000508400	ENSG00000188807
ENST00000484851	ENSG00000171608
ENST00000479223	ENSG00000171608
ENST00000454104	ENSG00000223989
ENST00000445884	ENSG00000228150
ENST00000496751	ENSG00000173614
ENST00000413148	ENSG00000241326
ENST00000462658	ENSG00000130939
ENST00000487244	ENSG00000130939
ENST00000495136	ENSG00000054523
ENST00000497835	ENSG00000054523
ENST00000470616	ENSG00000054523
ENST00000477958	ENSG00000142657
ENST00000465632	ENSG00000142657
ENST00000493288	ENSG00000142657
ENST00000498356	ENSG00000142657
ENST00000464507	ENSG00000175279
ENST00000377049	ENSG00000241563
ENST00000473118	ENSG00000120948
ENST00000613864	ENSG00000120948
ENST00000476201	ENSG00000120948
ENST00000472476	ENSG00000120948
ENST00000621715	ENSG00000120948
ENST00000616545	ENSG00000120948
ENST00000621790	ENSG00000120948
ENST00000622057	ENSG00000120948
ENST00000617172	ENSG00000120948
ENST00000618606	ENSG00000120948
ENST00000611963	ENSG00000120948
ENST00000620632	ENSG00000120948
ENST00000619555	ENSG00000120948
ENST00000610369	ENSG00000120948
ENST00000614494	ENSG00000120948
ENST00000611136	ENSG00000277726
ENST00000477447	ENSG00000120948
ENST00000612542	ENSG00000277726
ENST00000620505	ENSG00000120948
ENST00000621573	ENSG00000120948
ENST00000611008	ENSG00000120948
ENST00000613177	ENSG00000120948
ENST00000496840	ENSG00000120948
ENST00000622108	ENSG00000277726
ENST00000480464	ENSG00000120948
ENST00000620028	ENSG00000277726
ENST00000452378	ENSG00000226849
ENST00000447600	ENSG00000230337
ENST00000435388	ENSG00000230337
ENST00000445982	ENSG00000225602
ENST00000420480	ENSG00000225602
ENST00000376819	ENSG00000171819
ENST00000476934	ENSG00000171819
ENST00000423056	ENSG00000204624
ENST00000304391	ENSG00000204624
ENST00000453135	ENSG00000235643
ENST00000251546	ENSG00000132879
ENST00000425796	ENSG00000132879
ENST00000376770	ENSG00000132879
ENST00000376768	ENSG00000132879
ENST00000251547	ENSG00000132879
ENST00000376760	ENSG00000132879
ENST00000376762	ENSG00000132879
ENST00000475435	ENSG00000132879
ENST00000471895	ENSG00000132879
ENST00000474239	ENSG00000116663
ENST00000449067	ENSG00000116663
ENST00000476309	ENSG00000177674
ENST00000514733	ENSG00000177674
ENST00000513739	ENSG00000177674
ENST00000471765	ENSG00000177674
ENST00000449278	ENSG00000215910
ENST00000475041	ENSG00000215910
ENST00000482358	ENSG00000215910
ENST00000494028	ENSG00000011021
ENST00000446542	ENSG00000242349
ENST00000400892	ENSG00000242349
ENST00000438808	ENSG00000224904
ENST00000465920	ENSG00000083444
ENST00000470133	ENSG00000083444
ENST00000481933	ENSG00000083444
ENST00000490079	ENSG00000116688
ENST00000484391	ENSG00000116688
ENST00000466860	ENSG00000116691
ENST00000498685	ENSG00000116691
ENST00000460823	ENSG00000116691
ENST00000489921	ENSG00000028137
ENST00000476169	ENSG00000048707
ENST00000489961	ENSG00000048707
ENST00000469054	ENSG00000048707
ENST00000466732	ENSG00000048707
ENST00000476045	ENSG00000048707
ENST00000481484	ENSG00000048707
ENST00000473099	ENSG00000048707
ENST00000474179	ENSG00000157330
ENST00000357726	ENSG00000116726
ENST00000332296	ENSG00000116721
ENST00000400814	ENSG00000116721
ENST00000240189	ENSG00000120952
ENST00000616979	ENSG00000204510
ENST00000330881	ENSG00000204510
ENST00000418187	ENSG00000234064
ENST00000610289	ENSG00000274178
ENST00000617807	ENSG00000277058
ENST00000614839	ENSG00000229571
ENST00000619661	ENSG00000229571
ENST00000448180	ENSG00000229978
ENST00000434606	ENSG00000229978
ENST00000415919	ENSG00000204505
ENST00000504262	ENSG00000250894
ENST00000622421	ENSG00000270601
ENST00000437300	ENSG00000237700
ENST00000376152	ENSG00000204501
ENST00000376098	ENSG00000204479
ENST00000602960	ENSG00000204478
ENST00000563570	ENSG00000259961
ENST00000487453	ENSG00000116731
ENST00000612442	ENSG00000278480
ENST00000462113	ENSG00000142621
ENST00000483694	ENSG00000142621
ENST00000459961	ENSG00000142621
ENST00000472131	ENSG00000142621
ENST00000483120	ENSG00000142621
ENST00000472449	ENSG00000142621
ENST00000375949	ENSG00000162438
ENST00000476813	ENSG00000162438
ENST00000483406	ENSG00000162438
ENST00000459653	ENSG00000142615
ENST00000422901	ENSG00000215704
ENST00000488764	ENSG00000215704
ENST00000472665	ENSG00000116138
ENST00000490811	ENSG00000116138
ENST00000495523	ENSG00000116138
ENST00000546927	ENSG00000197312
ENST00000548451	ENSG00000197312
ENST00000345034	ENSG00000215695
ENST00000477849	ENSG00000116786
ENST00000294454	ENSG00000162461
ENST00000489568	ENSG00000162461
ENST00000375782	ENSG00000162460
ENST00000465575	ENSG00000162460
ENST00000496928	ENSG00000162458
ENST00000508310	ENSG00000162458
ENST00000510393	ENSG00000162458
ENST00000430076	ENSG00000162458
ENST00000510929	ENSG00000162458
ENST00000502638	ENSG00000162458
ENST00000483633	ENSG00000162458
ENST00000431771	ENSG00000162458
ENST00000514156	ENSG00000162458
ENST00000509138	ENSG00000162458
ENST00000471538	ENSG00000065526
ENST00000505954	ENSG00000224966
ENST00000329454	ENSG00000183888
ENST00000495784	ENSG00000186510
ENST00000491433	ENSG00000186510
ENST00000375667	ENSG00000184908
ENST00000431772	ENSG00000184908
ENST00000424774	ENSG00000227959
ENST00000426353	ENSG00000224621
ENST00000508680	ENSG00000157191
ENST00000509727	ENSG00000157191
ENST00000457898	ENSG00000226029
ENST00000562878	ENSG00000261135
ENST00000452795	ENSG00000224174
ENST00000457982	ENSG00000186301
ENST00000624517	ENSG00000279151
ENST00000414128	ENSG00000230239
ENST00000438002	ENSG00000228549
ENST00000451828	ENSG00000228549
ENST00000453554	ENSG00000228549
ENST00000457856	ENSG00000228549
ENST00000467715	ENSG00000058453
ENST00000486318	ENSG00000058453
ENST00000498688	ENSG00000058453
ENST00000477773	ENSG00000058453
ENST00000497654	ENSG00000058453
ENST00000465021	ENSG00000058453
ENST00000465291	ENSG00000058453
ENST00000412427	ENSG00000204362
ENST00000634972	ENSG00000204362
ENST00000483501	ENSG00000142623
ENST00000460293	ENSG00000142623
ENST00000468945	ENSG00000159339
ENST00000487048	ENSG00000159339
ENST00000482892	ENSG00000074964
ENST00000482359	ENSG00000074964
ENST00000495593	ENSG00000074964
ENST00000617065	ENSG00000117148
ENST00000569711	ENSG00000261781
ENST00000624418	ENSG00000280222
ENST00000420211	ENSG00000225387
ENST00000400664	ENSG00000179023
ENST00000330263	ENSG00000053372
ENST00000493700	ENSG00000053372
ENST00000479559	ENSG00000053372
ENST00000432465	ENSG00000040487
ENST00000498067	ENSG00000173436
ENST00000479642	ENSG00000173436
ENST00000439278	ENSG00000158747
ENST00000427894	ENSG00000158747
ENST00000454736	ENSG00000235434
ENST00000466697	ENSG00000169914
ENST00000465062	ENSG00000158786
ENST00000417884	ENSG00000227066
ENST00000431027	ENSG00000227066
ENST00000375099	ENSG00000162543
ENST00000435552	ENSG00000228105
ENST00000530722	ENSG00000158816
ENST00000332947	ENSG00000183114
ENST00000400490	ENSG00000158828
ENST00000436642	ENSG00000233069
ENST00000416959	ENSG00000236936
ENST00000449034	ENSG00000231105
ENST00000444647	ENSG00000236009
ENST00000423921	ENSG00000236009
ENST00000481504	ENSG00000187952
ENST00000436658	ENSG00000186543
ENST00000475869	ENSG00000142794
ENST00000485941	ENSG00000142794
ENST00000467103	ENSG00000142794
ENST00000469876	ENSG00000142794
ENST00000477050	ENSG00000142794
ENST00000374830	ENSG00000162551
ENST00000374829	ENSG00000162551
ENST00000457706	ENSG00000233431
ENST00000484271	ENSG00000187942
ENST00000374666	ENSG00000219073
ENST00000473526	ENSG00000219073
ENST00000374663	ENSG00000142789
ENST00000400271	ENSG00000142789
ENST00000635675	ENSG00000218510
ENST00000434233	ENSG00000218510
ENST00000634934	ENSG00000218510
ENST00000634712	ENSG00000218510
ENST00000634451	ENSG00000218510
ENST00000635450	ENSG00000218510
ENST00000420503	ENSG00000218510
ENST00000416769	ENSG00000218510
ENST00000452322	ENSG00000218510
ENST00000431803	ENSG00000230068
ENST00000438551	ENSG00000237200
ENST00000374642	ENSG00000173372
ENST00000438241	ENSG00000173372
ENST00000402322	ENSG00000173372
ENST00000374640	ENSG00000159189
ENST00000374639	ENSG00000159189
ENST00000374637	ENSG00000159189
ENST00000510260	ENSG00000173369
ENST00000509305	ENSG00000173369
ENST00000432749	ENSG00000173369
ENST00000314933	ENSG00000173369
ENST00000481879	ENSG00000004487
ENST00000465864	ENSG00000004487
ENST00000494920	ENSG00000004487
ENST00000602503	ENSG00000004487
ENST00000458053	ENSG00000249087
ENST00000454117	ENSG00000249087
ENST00000335648	ENSG00000249087
ENST00000518821	ENSG00000249087
ENST00000437367	ENSG00000249087
ENST00000445848	ENSG00000232482
ENST00000612756	ENSG00000197880
ENST00000451300	ENSG00000229239
ENST00000374550	ENSG00000142676
ENST00000482370	ENSG00000142676
ENST00000443624	ENSG00000142676
ENST00000458455	ENSG00000142676
ENST00000487554	ENSG00000011007
ENST00000246151	ENSG00000057757
ENST00000415372	ENSG00000057757
ENST00000374524	ENSG00000057757
ENST00000374514	ENSG00000011009
ENST00000420982	ENSG00000011009
ENST00000374505	ENSG00000011009
ENST00000495365	ENSG00000011009
ENST00000374503	ENSG00000011009
ENST00000374502	ENSG00000011009
ENST00000492577	ENSG00000011009
ENST00000421070	ENSG00000011009
ENST00000374501	ENSG00000011009
ENST00000471915	ENSG00000189266
ENST00000334351	ENSG00000189266
ENST00000374468	ENSG00000189266
ENST00000528181	ENSG00000158055
ENST00000461318	ENSG00000158055
ENST00000488155	ENSG00000001461
ENST00000475663	ENSG00000001461
ENST00000482807	ENSG00000117602
ENST00000471693	ENSG00000133226
ENST00000593639	ENSG00000133226
ENST00000466910	ENSG00000133226
ENST00000468822	ENSG00000133226
ENST00000600523	ENSG00000133226
ENST00000462710	ENSG00000133226
ENST00000490543	ENSG00000133226
ENST00000494934	ENSG00000133226
ENST00000495561	ENSG00000133226
ENST00000485441	ENSG00000133226
ENST00000470243	ENSG00000133226
ENST00000485541	ENSG00000133226
ENST00000488317	ENSG00000133226
ENST00000489130	ENSG00000133226
ENST00000474843	ENSG00000133226
ENST00000456316	ENSG00000229162
ENST00000455902	ENSG00000231953
ENST00000487234	ENSG00000183726
ENST00000470035	ENSG00000204178
ENST00000485476	ENSG00000157978
ENST00000462394	ENSG00000157978
ENST00000484476	ENSG00000157978
ENST00000474283	ENSG00000157978
ENST00000470950	ENSG00000157978
ENST00000412797	ENSG00000225643
ENST00000475314	ENSG00000117643
ENST00000487493	ENSG00000117643
ENST00000630065	ENSG00000162430
ENST00000494537	ENSG00000162430
ENST00000527604	ENSG00000255054
ENST00000533762	ENSG00000117640
ENST00000529116	ENSG00000117640
ENST00000488327	ENSG00000117640
ENST00000472643	ENSG00000117640
ENST00000494293	ENSG00000117640
ENST00000526894	ENSG00000117640
ENST00000478284	ENSG00000117640
ENST00000528624	ENSG00000117640
ENST00000525713	ENSG00000117640
ENST00000464008	ENSG00000117640
ENST00000526158	ENSG00000117640
ENST00000530599	ENSG00000117640
ENST00000531361	ENSG00000117640
ENST00000497956	ENSG00000117640
ENST00000455431	ENSG00000236528
ENST00000484339	ENSG00000158008
ENST00000470037	ENSG00000158008
ENST00000374268	ENSG00000197245
ENST00000374266	ENSG00000142684
ENST00000481077	ENSG00000142675
ENST00000480348	ENSG00000142675
ENST00000465415	ENSG00000142675
ENST00000525687	ENSG00000142675
ENST00000531191	ENSG00000142675
ENST00000524529	ENSG00000142675
ENST00000531150	ENSG00000142675
ENST00000528001	ENSG00000142675
ENST00000528281	ENSG00000142675
ENST00000480617	ENSG00000142675
ENST00000484874	ENSG00000142675
ENST00000447201	ENSG00000236155
ENST00000448341	ENSG00000236155
ENST00000451482	ENSG00000236155
ENST00000469609	ENSG00000130695
ENST00000468163	ENSG00000130695
ENST00000491670	ENSG00000130695
ENST00000270792	ENSG00000142669
ENST00000319041	ENSG00000142669
ENST00000374213	ENSG00000169442
ENST00000492808	ENSG00000169442
ENST00000470468	ENSG00000169442
ENST00000487944	ENSG00000117682
ENST00000530781	ENSG00000117682
ENST00000468388	ENSG00000198830
ENST00000479815	ENSG00000198830
ENST00000460563	ENSG00000198830
ENST00000464888	ENSG00000198830
ENST00000463817	ENSG00000198830
ENST00000619352	ENSG00000198830
ENST00000467700	ENSG00000198830
ENST00000361427	ENSG00000198830
ENST00000466194	ENSG00000198830
ENST00000493418	ENSG00000198830
ENST00000530607	ENSG00000117676
ENST00000527264	ENSG00000117676
ENST00000474934	ENSG00000117676
ENST00000488985	ENSG00000117676
ENST00000438977	ENSG00000117676
ENST00000524572	ENSG00000117713
ENST00000636422	ENSG00000117713
ENST00000430291	ENSG00000117713
ENST00000636110	ENSG00000117713
ENST00000636072	ENSG00000117713
ENST00000466382	ENSG00000117713
ENST00000636794	ENSG00000117713
ENST00000532781	ENSG00000117713
ENST00000637788	ENSG00000117713
ENST00000430292	ENSG00000060642
ENST00000472757	ENSG00000060642
ENST00000431541	ENSG00000060642
ENST00000455364	ENSG00000060642
ENST00000488397	ENSG00000204160
ENST00000478902	ENSG00000204160
ENST00000339276	ENSG00000175793
ENST00000448791	ENSG00000226698
ENST00000484772	ENSG00000090273
ENST00000522111	ENSG00000253368
ENST00000531285	ENSG00000253368
ENST00000472249	ENSG00000142784
ENST00000471456	ENSG00000186501
ENST00000470223	ENSG00000186501
ENST00000473280	ENSG00000142765
ENST00000543823	ENSG00000142765
ENST00000490170	ENSG00000142765
ENST00000496001	ENSG00000142765
ENST00000485269	ENSG00000142765
ENST00000615284	ENSG00000142765
ENST00000475199	ENSG00000142765
ENST00000374024	ENSG00000181773
ENST00000492975	ENSG00000241169
ENST00000443579	ENSG00000237429
ENST00000481874	ENSG00000117758
ENST00000472285	ENSG00000117758
ENST00000486634	ENSG00000117751
ENST00000427466	ENSG00000130775
ENST00000442118	ENSG00000130775
ENST00000482828	ENSG00000130775
ENST00000456990	ENSG00000130775
ENST00000492877	ENSG00000130775
ENST00000373884	ENSG00000158156
ENST00000481387	ENSG00000158156
ENST00000497986	ENSG00000130770
ENST00000335514	ENSG00000130770
ENST00000465645	ENSG00000130770
ENST00000479574	ENSG00000130772
ENST00000373842	ENSG00000130772
ENST00000398997	ENSG00000130772
ENST00000475655	ENSG00000130772
ENST00000474683	ENSG00000130772
ENST00000632964	ENSG00000204138
ENST00000413987	ENSG00000242125
ENST00000447507	ENSG00000242125
ENST00000437681	ENSG00000242125
ENST00000429051	ENSG00000180198
ENST00000478232	ENSG00000180198
ENST00000624273	ENSG00000279443
ENST00000464880	ENSG00000180098
ENST00000497790	ENSG00000180098
ENST00000373826	ENSG00000188060
ENST00000465518	ENSG00000188060
ENST00000420776	ENSG00000229388
ENST00000427804	ENSG00000229388
ENST00000474884	ENSG00000198492
ENST00000496288	ENSG00000198492
ENST00000475796	ENSG00000198492
ENST00000476976	ENSG00000198492
ENST00000468863	ENSG00000198492
ENST00000526080	ENSG00000060656
ENST00000493601	ENSG00000060656
ENST00000465525	ENSG00000060656
ENST00000492954	ENSG00000060656
ENST00000441046	ENSG00000233372
ENST00000420354	ENSG00000231949
ENST00000414532	ENSG00000186056
ENST00000454613	ENSG00000186056
ENST00000414763	ENSG00000186056
ENST00000635357	ENSG00000223382
ENST00000635044	ENSG00000223382
ENST00000635288	ENSG00000223382
ENST00000634319	ENSG00000223382
ENST00000634587	ENSG00000223382
ENST00000634980	ENSG00000223382
ENST00000438790	ENSG00000223382
ENST00000431202	ENSG00000235143
ENST00000562339	ENSG00000260386
ENST00000563550	ENSG00000260386
ENST00000566792	ENSG00000260386
ENST00000570127	ENSG00000260386
ENST00000562271	ENSG00000260386
ENST00000461030	ENSG00000142910
ENST00000466998	ENSG00000142910
ENST00000478398	ENSG00000142910
ENST00000468635	ENSG00000142910
ENST00000537531	ENSG00000142910
ENST00000498429	ENSG00000142910
ENST00000463112	ENSG00000142910
ENST00000480586	ENSG00000142910
ENST00000485464	ENSG00000121764
ENST00000468521	ENSG00000121764
ENST00000403528	ENSG00000121764
ENST00000373706	ENSG00000121764
ENST00000581333	ENSG00000264078
ENST00000445166	ENSG00000235790
ENST00000623786	ENSG00000235790
ENST00000588288	ENSG00000235790
ENST00000527035	ENSG00000254545
ENST00000515055	ENSG00000250135
ENST00000373602	ENSG00000160050
ENST00000469003	ENSG00000160050
ENST00000421922	ENSG00000160050
ENST00000461819	ENSG00000160050
ENST00000483009	ENSG00000160050
ENST00000291358	ENSG00000160051
ENST00000617816	ENSG00000160051
ENST00000537469	ENSG00000160051
ENST00000409358	ENSG00000222046
ENST00000487056	ENSG00000222046
ENST00000355082	ENSG00000084623
ENST00000373586	ENSG00000084623
ENST00000489353	ENSG00000084623
ENST00000471486	ENSG00000084623
ENST00000483517	ENSG00000084623
ENST00000474371	ENSG00000084623
ENST00000373582	ENSG00000183615
ENST00000373562	ENSG00000182866
ENST00000373557	ENSG00000182866
ENST00000469956	ENSG00000182866
ENST00000490081	ENSG00000116478
ENST00000482310	ENSG00000116478
ENST00000476391	ENSG00000116478
ENST00000471488	ENSG00000116478
ENST00000421153	ENSG00000162526
ENST00000574792	ENSG00000162526
ENST00000373534	ENSG00000162526
ENST00000525506	ENSG00000162521
ENST00000465780	ENSG00000162521
ENST00000490500	ENSG00000162521
ENST00000475321	ENSG00000162521
ENST00000294521	ENSG00000162522
ENST00000373480	ENSG00000162522
ENST00000530710	ENSG00000116497
ENST00000529027	ENSG00000116497
ENST00000526230	ENSG00000116497
ENST00000531256	ENSG00000116497
ENST00000477248	ENSG00000116497
ENST00000482212	ENSG00000116497
ENST00000474103	ENSG00000116497
ENST00000530552	ENSG00000116497
ENST00000525203	ENSG00000116497
ENST00000524535	ENSG00000116497
ENST00000527692	ENSG00000116497
ENST00000475486	ENSG00000116497
ENST00000470166	ENSG00000121905
ENST00000480118	ENSG00000121905
ENST00000373467	ENSG00000121905
ENST00000459874	ENSG00000121905
ENST00000470896	ENSG00000121905
ENST00000447420	ENSG00000239670
ENST00000495135	ENSG00000142920
ENST00000497280	ENSG00000142920
ENST00000492521	ENSG00000142920
ENST00000624339	ENSG00000279179
ENST00000477934	ENSG00000160094
ENST00000628643	ENSG00000225313
ENST00000413515	ENSG00000234512
ENST00000432666	ENSG00000227000
ENST00000519684	ENSG00000176256
ENST00000522796	ENSG00000176256
ENST00000458277	ENSG00000176256
ENST00000434181	ENSG00000231163
ENST00000432447	ENSG00000231163
ENST00000414868	ENSG00000231163
ENST00000438719	ENSG00000231163
ENST00000431046	ENSG00000231163
ENST00000338513	ENSG00000189280
ENST00000339480	ENSG00000189433
ENST00000373366	ENSG00000188910
ENST00000373362	ENSG00000188910
ENST00000342280	ENSG00000187513
ENST00000450137	ENSG00000187513
ENST00000428087	ENSG00000233940
ENST00000476269	ENSG00000197056
ENST00000463393	ENSG00000197056
ENST00000482131	ENSG00000146463
ENST00000470175	ENSG00000146463
ENST00000492456	ENSG00000146463
ENST00000442276	ENSG00000236274
ENST00000373253	ENSG00000020129
ENST00000356090	ENSG00000020129
